fecha,anio,mes,hora,dia_semana,codigo_atc,cantidad_vendida,rejection_reason
2019-08-03,2019,8,276,Saturday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2019-08-09,2019,8,276,Friday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2019-10-01,2019,10,276,Tuesday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2014-03-13,2014,3,276,Thursday,R03,26.0,Statistical Outlier (Z-Score > 3)
2014-05-13,2014,5,276,Tuesday,R03,25.0,Statistical Outlier (Z-Score > 3)
2014-10-04,2014,10,276,Saturday,R03,25.0,Statistical Outlier (Z-Score > 3)
2014-10-29,2014,10,276,Wednesday,R03,27.0,Statistical Outlier (Z-Score > 3)
2015-02-20,2015,2,276,Friday,R03,25.0,Statistical Outlier (Z-Score > 3)
2015-12-13,2015,12,276,Sunday,R03,27.0,Statistical Outlier (Z-Score > 3)
2015-12-28,2015,12,276,Monday,R03,26.0,Statistical Outlier (Z-Score > 3)
2016-02-19,2016,2,276,Friday,R03,26.0,Statistical Outlier (Z-Score > 3)
2016-02-28,2016,2,276,Sunday,R03,26.0,Statistical Outlier (Z-Score > 3)
2016-03-21,2016,3,276,Monday,R03,36.0,Statistical Outlier (Z-Score > 3)
2016-12-02,2016,12,276,Friday,R03,26.0,Statistical Outlier (Z-Score > 3)
2017-04-25,2017,4,276,Tuesday,R03,26.0,Statistical Outlier (Z-Score > 3)
2017-09-25,2017,9,276,Monday,R03,26.0,Statistical Outlier (Z-Score > 3)
2017-09-30,2017,9,276,Saturday,R03,28.0,Statistical Outlier (Z-Score > 3)
2017-10-23,2017,10,276,Monday,R03,28.0,Statistical Outlier (Z-Score > 3)
2017-11-17,2017,11,276,Friday,R03,30.0,Statistical Outlier (Z-Score > 3)
2018-01-17,2018,1,276,Wednesday,R03,41.0,Statistical Outlier (Z-Score > 3)
2018-04-25,2018,4,276,Wednesday,R03,30.0,Statistical Outlier (Z-Score > 3)
2018-05-14,2018,5,276,Monday,R03,37.0,Statistical Outlier (Z-Score > 3)
2018-10-09,2018,10,276,Tuesday,R03,29.0,Statistical Outlier (Z-Score > 3)
2018-10-20,2018,10,276,Saturday,R03,34.0,Statistical Outlier (Z-Score > 3)
2018-10-22,2018,10,276,Monday,R03,28.0,Statistical Outlier (Z-Score > 3)
2018-10-25,2018,10,276,Thursday,R03,33.0,Statistical Outlier (Z-Score > 3)
2018-11-15,2018,11,276,Thursday,R03,29.0,Statistical Outlier (Z-Score > 3)
2018-12-02,2018,12,276,Sunday,R03,27.0,Statistical Outlier (Z-Score > 3)
2018-12-14,2018,12,276,Friday,R03,29.0,Statistical Outlier (Z-Score > 3)
2018-12-15,2018,12,276,Saturday,R03,26.0,Statistical Outlier (Z-Score > 3)
2018-12-30,2018,12,276,Sunday,R03,31.0,Statistical Outlier (Z-Score > 3)
2019-01-05,2019,1,276,Saturday,R03,30.0,Statistical Outlier (Z-Score > 3)
2019-01-20,2019,1,276,Sunday,R03,34.0,Statistical Outlier (Z-Score > 3)
2019-01-21,2019,1,276,Monday,R03,31.0,Statistical Outlier (Z-Score > 3)
2019-01-28,2019,1,276,Monday,R03,28.0,Statistical Outlier (Z-Score > 3)
2019-02-02,2019,2,276,Saturday,R03,45.0,Statistical Outlier (Z-Score > 3)
2019-02-28,2019,2,276,Thursday,R03,35.0,Statistical Outlier (Z-Score > 3)
2019-03-14,2019,3,276,Thursday,R03,27.0,Statistical Outlier (Z-Score > 3)
2019-03-22,2019,3,276,Friday,R03,29.0,Statistical Outlier (Z-Score > 3)
2019-04-22,2019,4,276,Monday,R03,31.0,Statistical Outlier (Z-Score > 3)
2019-04-30,2019,4,276,Tuesday,R03,28.0,Statistical Outlier (Z-Score > 3)
2019-05-09,2019,5,276,Thursday,R03,31.0,Statistical Outlier (Z-Score > 3)
2019-05-10,2019,5,276,Friday,R03,26.0,Statistical Outlier (Z-Score > 3)
2019-07-30,2019,7,276,Tuesday,R03,33.0,Statistical Outlier (Z-Score > 3)
2019-08-08,2019,8,276,Thursday,R03,31.0,Statistical Outlier (Z-Score > 3)
2019-09-26,2019,9,276,Thursday,R03,31.0,Statistical Outlier (Z-Score > 3)
2014-05-07,2014,5,276,Wednesday,R06,11.0,Statistical Outlier (Z-Score > 3)
2014-06-09,2014,6,276,Monday,R06,11.0,Statistical Outlier (Z-Score > 3)
2015-05-31,2015,5,276,Sunday,R06,10.5,Statistical Outlier (Z-Score > 3)
2016-04-01,2016,4,276,Friday,R06,10.5,Statistical Outlier (Z-Score > 3)
2016-04-03,2016,4,276,Sunday,R06,11.0,Statistical Outlier (Z-Score > 3)
2016-04-05,2016,4,276,Tuesday,R06,12.0,Statistical Outlier (Z-Score > 3)
2016-04-28,2016,4,276,Thursday,R06,12.0,Statistical Outlier (Z-Score > 3)
2016-05-08,2016,5,276,Sunday,R06,11.0,Statistical Outlier (Z-Score > 3)
2016-06-19,2016,6,276,Sunday,R06,15.0,Statistical Outlier (Z-Score > 3)
2017-04-02,2017,4,276,Sunday,R06,12.4,Statistical Outlier (Z-Score > 3)
2017-05-22,2017,5,276,Monday,R06,11.0,Statistical Outlier (Z-Score > 3)
2017-06-12,2017,6,276,Monday,R06,12.0,Statistical Outlier (Z-Score > 3)
2017-06-22,2017,6,276,Thursday,R06,11.0,Statistical Outlier (Z-Score > 3)
2018-04-11,2018,4,276,Wednesday,R06,11.0,Statistical Outlier (Z-Score > 3)
2018-04-14,2018,4,276,Saturday,R06,12.0,Statistical Outlier (Z-Score > 3)
2018-04-24,2018,4,276,Tuesday,R06,12.0,Statistical Outlier (Z-Score > 3)
2018-04-29,2018,4,276,Sunday,R06,10.4,Statistical Outlier (Z-Score > 3)
2018-05-04,2018,5,276,Friday,R06,10.5,Statistical Outlier (Z-Score > 3)
2018-05-06,2018,5,276,Sunday,R06,13.5,Statistical Outlier (Z-Score > 3)
2018-05-27,2018,5,276,Sunday,R06,11.0,Statistical Outlier (Z-Score > 3)
2018-06-21,2018,6,276,Thursday,R06,10.5,Statistical Outlier (Z-Score > 3)
2019-04-04,2019,4,276,Thursday,R06,15.0,Statistical Outlier (Z-Score > 3)
2019-04-21,2019,4,276,Sunday,R06,12.2,Statistical Outlier (Z-Score > 3)
2019-04-26,2019,4,276,Friday,R06,11.0,Statistical Outlier (Z-Score > 3)
2019-06-10,2019,6,276,Monday,R06,12.0,Statistical Outlier (Z-Score > 3)
2019-06-18,2019,6,276,Tuesday,R06,12.1,Statistical Outlier (Z-Score > 3)
